model_type,method,init,lr,momentum,test_mse,test_r2
ridge,mini,zeros,0.0001,0.9,20.634945398707078,-35.98699580073649
ridge,mini,xavier,0.01,0.9,2.3503003506396682,-3.212783097794177
ridge,mini,xavier,0.001,0.9,3.0869713704905433,-4.533225066080451
ridge,mini,xavier,0.0001,0.9,20.179865414559206,-35.17129015492794
ridge,sto,zeros,0.01,0.9,1.7888087222469753,-2.2063404782362652
ridge,sto,zeros,0.001,0.9,1.5554127250572716,-1.7879910907692569
ridge,sto,zeros,0.0001,0.9,2.131178410011401,-2.8200191654808515
ridge,sto,xavier,0.01,0.9,1.541796615110748,-1.763584968451822
ridge,sto,xavier,0.001,0.9,1.5500957030658822,-1.7784606235803166
ridge,sto,xavier,0.0001,0.9,2.13475498573372,-2.82642997920807
polynomial,batch,zeros,0.01,0.0,3.504056527414773e+109,-6.280827090201756e+109
polynomial,batch,zeros,0.001,0.0,8.929947987853131,-15.006436767611419
polynomial,batch,zeros,0.0001,0.0,15.334239611467737,-26.48577450330357
polynomial,batch,xavier,0.01,0.0,3.502088761228585e+109,-6.27729997838929e+109
polynomial,batch,xavier,0.001,0.0,8.493270943686893,-14.223717371616956
polynomial,batch,xavier,0.0001,0.0,16.315371581266426,-28.244399173528585
polynomial,mini,zeros,0.01,0.0,inf,-inf
polynomial,mini,zeros,0.001,0.0,0.49477176334366135,0.11314904015875815
polynomial,mini,zeros,0.0001,0.0,18.63416903855456,-32.40071508124349
polynomial,mini,xavier,0.01,0.0,inf,-inf
polynomial,mini,xavier,0.001,0.0,0.4639572678511571,0.16838231523466307
polynomial,mini,xavier,0.0001,0.0,20.059149631916384,-34.954913806000334
polynomial,sto,zeros,0.01,0.0,,
polynomial,sto,zeros,0.001,0.0,inf,-inf
polynomial,sto,zeros,0.0001,0.0,0.29107706925992666,0.47826048819677713
polynomial,sto,xavier,0.01,0.0,,
polynomial,sto,xavier,0.001,0.0,inf,-inf
polynomial,sto,xavier,0.0001,0.0,0.4066023503439816,0.27118782559585874
